ID,SMILE
ID0000056,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C>>CC1=C(/C=C/C(C)=C/C=C\C(C)=C\CO)C(C)(C)CCC1
ID0000057,NC(CCCCNC(=O)CCCC[C@@H]1SCC2NC(=O)NC21)C(=O)O>>NCCCCC(N)C(=O)O
ID0000058,*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC>>*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC
ID0000059,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]2O)c1
ID0000060,*C(=O)OC[C@H](CO[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)OC(*)=O>>*C(=O)OC[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC(*)=O
ID0000061,*C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O>>CCCCCCCCCCCCCCCC(=O)O
ID0000062,O=P(O)(O)OP(=O)(O)O>>*[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1
ID0000063,O=P(O)(O)O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O>>O=P(O)(O)OC[C@H]1O[C@@](CO)(OP(=O)(O)O)[C@@H](O)[C@@H]1O
ID0000064,O=P1(O)O[C@@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O1>>*C(=O)OCC(COP(=O)(O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O)OC(*)=O
ID0000065,O=C(O)C(=O)C[PH](=O)O>>O=C(O)C(=O)CP(=O)(O)C(=O)O
ID0000066,CNC(C)C(=O)c1ccccc1>>CN[C@@H](C)[C@@H](O)c1ccccc1
ID0000067,OC1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl>>O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
ID0000068,O=C(O)CCCO>>O=C1CCCO1
ID0000069,C=C[C@@](C)(O)CCC=C(C)C>>CC(C)=CCC/C(C)=C/CO
ID0000070,CC(=O)N[C@@H]1[C@H](O)[C@@H](NC(C)=O)[C@@H](O)O[C@H]1C>>CC(=O)N[C@H]([C@@H]1O[C@](O)(C(=O)O)C[C@H](O)[C@@H]1NC(C)=O)[C@H](C)O
ID0000071,OC1OC[C@@H](O)[C@@H](O)[C@@H]1O>>OCC1(O)OC[C@@H](O)[C@H]1O
ID0000072,Nc1ccc(C(=O)O)cc1>>Nc1ccc(O)cc1
ID0000073,O=C(NC1CN(C(C(=O)O)c2ccc(O)cc2)C1=O)C(=NO)c1ccc(O)cc1>>NC(C(=O)NC1CN(C(C(=O)O)c2ccc(O)cc2)C1=O)c1ccc(O)cc1
ID0000074,O=C(O)/C=C\C(=O)CC(=O)O>>O=C(O)/C=C1/C=CC(=O)O1
ID0000075,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
ID0000076,*C(=O)C=Cc1ccc(O)c(OC)c1>>OCC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O
ID0000077,O=C(O)C(=O)Cc1ccc(O)cc1>>NC(Cc1ccc(O)cc1)C(=O)O
ID0000078,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1C[C@@H]1NCCc2cc(OC)c(O)cc21>>C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1C[C@@H]1NCCc2cc(O)c(O)cc21
ID0000079,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12>>O=C1c2c(O)cc(O)cc2OCC1c1ccc(O)cc1
ID0000080,C=CC1=CC[C@@H]2[C@H](CC[C@@H]3C(C)(C)CCC[C@@]23C)[C@@H]1C>>C=CC1=CC[C@@H]2[C@H](CC[C@@H]3C(C)(C)C[C@H](O)C[C@@]23C)[C@@H]1C
ID0000081,O=C(O)C1=C/C(=C/C=[N+]2/c3cc(O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc3CC2C(=O)[O-])CC(C(=O)O)N1>>COc1cc(C=CC(=O)O[C@H]2[C@H](O[C@H]3[C@H](Oc4cc5c(cc4O)/[N+](=C/C=C4/C=C(C(=O)O)NC(C(=O)O)C4)C(C(=O)[O-])C5)O[C@H](CO)[C@@H](O)[C@@H]3O)OC(C(=O)O)[C@@H](O)[C@@H]2O)ccc1O
ID0000082,COC(=O)C1c2cc3c(c(O)c2C(=O)C[C@]1(C)O)C(=O)c1c(O)cccc1C3=O>>COC(=O)Cc1cc2c(c(O)c1C(=O)CC(C)=O)C(=O)c1c(O)cccc1C2=O
ID0000083,O=C1C[C@@H](c2cc(O)c(O)c(O)c2)Oc2cc(O)cc(O)c21>>O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12
ID0000084,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC=C(C)C=Cc1cc(O)c(C)c(C)c1O>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC=C(C)CCc1cc(O)c(C)c(C)c1O
ID0000085,*O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1NC(C)=O>>*O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1NC(C)=O
